bnf_chemical_substance,bnf_chapter,bnf_name,bnf_code,drug,form,dose,misc1,combination
Ciclopirox Olamine,2,2,2,2,2,2,0,2
Ciclosporin,52,52,52,52,52,52,0,52
Ciclosporin (Eye Anti Inflam),3,3,3,3,3,3,0,3
Cidofovir,3,3,3,3,3,3,0,3
Cilazapril,10,10,10,10,10,10,0,10
Cilostazol,4,4,4,4,4,4,0,4
Cimetidine,48,48,48,48,48,48,0,48
Cimetidine With Alginate,6,6,6,6,6,0,0,6
Cinacalcet Hydrochloride,6,6,6,6,6,6,0,6
Cinchocaine Hydrochloride,3,3,3,3,3,3,0,3
Cinnarizine,11,11,11,11,11,8,0,11
Cinoxacin,2,2,2,2,2,2,0,2
Cinoxate,1,1,1,1,1,0,0,1
Ciprofibrate,2,2,2,2,2,2,0,2
Ciprofloxacin,65,65,65,65,65,64,0,65
Ciprofloxacin Lactate,2,2,2,2,2,2,0,2
Ciprofloxacin/Fluocinolone,2,2,2,2,2,1,0,2
Ciprofloxain/Dexameth,2,2,2,2,2,1,0,2
Cisapride,23,23,23,23,23,22,0,23
Cisatracurium,11,11,11,11,11,11,0,11
Cisplatin,11,11,11,11,11,11,0,11
Citalopram Hydrobromide,17,17,17,17,17,17,0,17
Citalopram Hydrochloride,2,2,2,2,2,2,0,2
Citrated Calcium Carbimide,5,5,5,5,5,5,0,5
Citric Acid Monohydrate/Ipecacuanha,2,2,2,2,2,0,0,2
Cladribine,4,4,4,4,4,4,0,4
Cladribine (Immunomodulating),2,2,2,2,2,2,0,2
Clarithromycin,30,30,30,30,30,30,0,30
Clebopride,2,2,2,2,2,0,0,2
Clemastine Fumarate,10,10,10,10,10,8,0,10
Clenbuterol Hydrochloride,4,4,4,4,4,4,0,4
Clindamycin,6,6,6,6,6,6,0,6
Clindamycin Hydrochloride,23,23,23,23,23,23,0,23
Clindamycin Phosphate,14,14,14,14,14,13,0,14
Clindamycin/Hydrocortisone,1,1,1,1,1,0,0,1
Clindamycin/Tretinoin,2,2,2,2,2,2,0,2
Clioquinol,13,13,13,13,13,9,0,13
Clobazam,87,87,87,87,87,86,0,87
Clobetasol Propionate,55,55,55,55,55,15,0,55
Clobetasone Butyrate,37,37,37,37,37,13,0,37
Clofarabine,2,2,2,2,2,2,0,2
Clofazimine,5,5,5,5,5,4,0,5
Clofibrate,2,2,2,2,2,2,0,2
Clomethiazole,2,2,2,2,2,2,0,2
Clomethiazole Edisilate,6,6,6,6,6,6,0,6
Clomifene Citrate,4,4,4,4,4,4,0,4
Clomipramine Hydrochloride,26,26,26,26,26,26,0,26
Clomocycline Sodium,2,2,2,2,2,2,0,2
Clonazepam,96,96,96,96,96,94,0,96
Clonidine Hydrochloride,44,44,44,44,44,43,0,44
Clopamide/Potassium,2,2,2,2,2,1,0,2
Clopidogrel,22,22,22,22,22,22,0,22
Cloral Betaine,2,2,2,2,2,2,0,2
Clorazepate Dipotassium,5,5,5,5,5,5,0,5
Clotiapine,1,1,1,1,1,1,0,1
Clotiazepam,1,1,1,1,1,1,0,1
Clotrimazole,66,66,66,66,66,61,0,66
Clove Oil,1,1,1,1,1,0,0,1
Cloxacillin,13,13,13,13,13,13,0,13
Clozapine,16,16,16,16,16,16,0,16
Co-Amilofruse (Amiloride HCl/Frusemide),23,23,23,23,23,22,0,23
Co-Amilozide (Amiloride HCl/Hydchloroth),17,17,17,17,17,17,0,17
Co-Amoxiclav (Amoxicillin/Clavul Acid),34,34,34,34,34,29,0,34
Co-Beneldopa (Benserazide/Levodopa),28,28,28,28,28,27,0,28
Co-Careldopa (Carbidopa/Levodopa),40,40,40,40,40,38,0,40
Co-Codamol (Codeine Phos/Paracetamol),62,62,62,62,62,58,0,62
Co-Codaprin (Codeine Phos/Aspirin),3,3,3,3,3,2,0,3
Co-Cyprindiol (Cyprote Acet/Ethinlestr),8,8,8,8,8,8,0,8
Co-Danthramer (Dantron/Poloxamer 188),19,19,19,19,19,17,0,19
Co-Danthrusate (Dantron/Docusate Sod),9,9,9,9,9,7,0,9
Co-Dergocrine Mesilate,5,5,5,5,5,5,0,5
Co-Dydramol (Dihydrocodeine/Paracet),28,28,28,28,28,18,0,28
Co-Fluampicil(Flucloxacillin/Ampicillin),12,12,12,12,12,12,0,12
Co-Flumactone (Hydroflumeth/Spironol),6,6,6,6,6,6,0,6
Co-Magaldrox(Magnesium/Aluminium Hydrox),18,18,18,18,18,17,0,18
Co-Methiamol (Methionine/Paracetamol),2,2,2,2,2,2,0,2
Co-Phenotrope (Diphenox HCl/Atrop Sulph),15,15,15,15,15,13,0,15
Co-Prenozide (Oxprenolol HCl/Cyclopenth),2,2,2,2,2,2,0,2
Co-Proxamol (Dextroprop HCl/Paracet),8,8,8,8,8,7,0,8
Co-Simalcite (Simeticone/Hydrotalcite),5,5,5,5,5,5,0,5
Co-Tenidone (Atenolol/Chlortalidone),11,11,11,11,11,11,0,11
Co-Triamterzide(Triamterene/Hydchloroth),5,5,5,5,5,2,0,5
Co-Trimoxazole(Trimethoprim/Sulfamethox,62,62,62,62,62,55,0,62
Co-Zidocapt (Hydchloroth/Captopril),7,7,7,7,7,7,0,7
Coal Tar,50,50,50,50,49,20,0,50
Coal Tar & Corticosteroid Preparations,18,18,18,18,18,3,0,18
Coal Tar Bath Preparations,6,6,6,6,6,0,0,6
Cobicistat,2,2,2,2,2,2,0,2
Cobimetinib,2,2,2,2,2,2,0,2
Cocaine,20,20,20,20,20,19,0,20
Cocaine (Eye),5,5,5,5,5,5,0,5
Cocaine Hydrochloride,23,23,23,23,23,22,0,23
Cocillana,1,1,1,1,1,0,0,1
Cocois,3,3,3,3,3,0,0,3
Coconut Oil,4,4,4,4,4,0,0,4
Cod Liver Oil,158,158,158,158,158,115,0,158
Codeine Phosphate,43,43,43,43,43,41,0,43
Codeine Phosphate Compound Mixtures,6,6,6,6,6,1,0,6
Colchicine,9,9,9,9,9,9,0,9
Colecalciferol,371,371,371,371,370,245,0,371
Colesevelam Hydrochloride,2,2,2,2,2,2,0,2
Colestilan,6,6,6,6,6,6,0,6
Colestipol Hydrochloride,6,6,6,6,6,6,0,6
Colestyramine,23,23,23,23,23,21,0,23
Colistimeth Sod,1,1,1,1,1,1,0,1
Colistimethate Sodium,17,17,17,17,17,13,0,17
Colistin Sulfate,10,10,10,10,10,7,0,10
Colistin Sulphate,2,2,2,2,2,2,0,2
Collagen,2,2,2,2,2,2,0,2
Colocynth & Jalap,2,2,2,2,2,0,0,2
Combined Ethinylestradiol 135mcg,2,2,2,2,2,0,0,2
Combined Ethinylestradiol 15mcg,2,2,2,2,2,2,0,2
Combined Ethinylestradiol 20mcg,24,24,24,24,23,16,0,24
Combined Ethinylestradiol 30mcg,46,46,46,46,46,28,0,46
Combined Ethinylestradiol 35mcg,10,10,10,10,10,3,0,10
Combined Ethinylestradiol 50mcg,18,18,18,18,18,5,0,18
Combined Mestranol,3,3,3,3,3,2,0,3
Compound Alginates&Prop Indigestion Prep,38,38,38,38,37,11,0,38
Compound Anti-Infective Preparations,2,2,2,2,2,0,0,2
Compound Antispasmodic Preparations,13,13,13,13,13,4,0,13
Compound Iron Preparations,28,28,28,28,28,2,0,28
Copper Sulfate Pentahydrate,2,2,2,2,2,1,0,2
Corifollitropin Alfa,4,4,4,4,4,4,0,4
Corticosteroids,6,6,6,6,6,0,0,6
Corticotropin,11,11,11,11,11,11,0,11
Cortisone Acetate,27,27,27,27,27,27,0,27
Cortivazol,2,2,2,2,2,2,0,2
Corynebacterium Parvum Vaccine,2,2,2,2,2,2,0,2
Coumarin,2,2,2,2,2,2,0,2
Creosote,1,1,1,1,1,0,0,1
Cresol,2,2,2,2,2,0,0,2
Crisantaspase,2,2,2,2,2,2,0,2
Crotamiton,5,5,5,5,5,4,0,5
Crystal Violet,9,9,9,9,8,8,0,9
Cyanocobalamin,26,26,26,26,26,19,0,26
Cyclandelate,7,7,7,7,7,7,0,7
Cyclizine Hydrochloride,31,31,31,31,31,30,0,31
Cyclizine Lactate,5,5,5,5,5,5,0,5
Cyclobarbital Calcium,2,2,2,2,2,2,0,2
Cyclobenzaprine Hydrochloride,2,2,2,2,2,2,0,2
Cyclofenil,4,4,4,4,4,4,0,4
Cyclopenthiazide,2,2,2,2,2,2,0,2
Cyclopenthiazide/Amiloride Hydrochloride,1,1,1,1,1,1,0,1
Cyclopenthiazide/Potassium,2,2,2,2,2,1,0,2
Cyclopentolate Hydrochloride,14,14,14,14,14,14,0,14
Cyclophosphamide,34,34,34,34,34,33,0,34
Cycloserine,5,5,5,5,5,5,0,5
Cyproheptadine Hydrochloride,10,10,10,10,10,9,0,10
Cyproterone Acetate,21,21,21,21,21,19,0,21
Cysteine Hydrochloride,4,4,4,4,4,4,0,4
Cystine,2,2,2,2,2,2,0,2
Cytarabine,29,29,29,29,29,29,0,29
Cytomegalovirus Immunoglobulin,4,4,4,4,4,4,0,4
D.Pteronyssinus Allergy Preparations,16,16,16,16,16,9,0,16
Dabigatran Etexilate,6,6,6,6,6,6,0,6
Dabrafenib,4,4,4,4,4,4,0,4
Dacarbazine,7,7,7,7,7,7,0,7
Daclatasvir,6,6,6,6,6,6,0,6
Daclizumab,2,2,2,2,2,2,0,2
Daclizumab (Immunomodulating),2,2,2,2,2,2,0,2
Dacomitinib,6,6,6,6,6,6,0,6
Dactinomycin,2,2,2,2,2,2,0,2
Dalbavancin Hydrochloride,2,2,2,2,2,2,0,2
Dalteparin Sodium,25,25,25,25,25,25,0,25
Danaparoid Sodium,2,2,2,2,2,2,0,2
Danazol,8,8,8,8,8,8,0,8
Dantrolene Sodium,46,46,46,46,46,45,0,46
Dapagliflozin,4,4,4,4,4,4,0,4
Dapagliflozin/Metformin,4,4,4,4,4,4,0,4
Dapoxetine Hydrochloride,6,6,6,6,6,6,0,6
Dapsone,15,15,15,15,15,15,0,15
Daptomycin,4,4,4,4,4,4,0,4
Darbepoetin Alfa,44,44,44,44,44,44,0,44
Darifenacin Hydrobromide,4,4,4,4,4,4,0,4
Darunavir,14,14,14,14,14,14,0,14
Darunavir/Cobicistat,2,2,2,2,2,2,0,2
Dasabuvir,2,2,2,2,2,2,0,2
Dasatinib,14,14,14,14,14,14,0,14
Daunorubicin,3,3,3,3,3,2,0,3
Daunorubicin/Cytarabine,2,2,2,2,2,2,0,2
Deanol,5,5,5,5,5,5,0,5
Debrisoquine Sulfate,4,4,4,4,4,4,0,4
Decitabine,2,2,2,2,2,2,0,2
Deferasirox,12,12,12,12,12,12,0,12
Deferiprone,9,9,9,9,9,9,0,9
Deflazacort,10,10,10,10,10,10,0,10
Degarelix,4,4,4,4,4,4,0,4
Dehydrocholic Acid,5,5,5,5,5,5,0,5
Delamanid,2,2,2,2,2,2,0,2
Demecarium Bromide,4,4,4,4,4,4,0,4
Demeclocycline Hydrochloride,14,14,14,14,14,12,0,14
Denosumab,4,4,4,4,4,4,0,4
Deodorants,16,16,16,16,16,3,0,16
Deoxyribonuclease,4,4,4,4,4,4,0,4
Depigmenting Agents,52,52,52,52,52,28,0,52
Dequalinium Chloride,9,9,9,9,9,7,0,9
Desferrioxamine Mesilate,11,11,11,11,11,10,0,11
Desipramine Hydrochloride,5,5,5,5,5,5,0,5
Desloratadine,10,10,10,10,10,10,0,10
Desmopressin Acetate,71,71,71,71,71,69,0,71
Desogestrel,10,10,10,10,10,10,0,10
Desonide,7,7,7,7,7,7,0,7
Desoximetasone,8,8,8,8,8,5,0,8
Desoxycortone Pivalate,2,2,2,2,2,2,0,2
Detergents,4,4,4,4,4,0,0,4
Dexamethasone,116,116,116,116,116,104,0,116
Dexamethasone Acetate,1,1,1,1,1,0,0,1
Dexamethasone Isonicotinate,4,4,4,4,3,2,0,4
Dexamethasone Phosphate,3,3,3,3,3,3,0,3
Dexamethasone Sodium Metasulphobenzoate,2,2,2,2,2,0,0,2
Dexamethasone Sodium Phosphate,13,13,13,13,13,13,0,13
Dexamfetamine Sulfate,61,61,61,61,61,58,0,61
Dexfenfluramine Hydrochloride,2,2,2,2,2,2,0,2
Dexibuprofen,5,5,5,5,5,5,0,5
Dexketoprofen,2,2,2,2,2,2,0,2
Dexmethylphenidate Hydrochloride,2,2,2,2,2,2,0,2
Dexpanthenol,10,10,10,10,10,10,0,10
Dexrazoxane,2,2,2,2,2,2,0,2
Dextran 110 I.V.I. In Sodium Chloride,1,1,1,1,1,1,0,1
Dextran 40 I.V.I. In Glucose,3,3,3,3,3,3,0,3
Dextran 40 I.V.I. In Sodium Chloride,2,2,2,2,2,2,0,2
Dextran 70 I.V.I. In Glucose,2,2,2,2,2,2,0,2
Dextran 70 I.V.I. In Sodium Chloride,4,4,4,4,4,4,0,4
Dextranomer,6,6,6,6,6,4,0,6
Dextromethorphan Hydrobrom Comp Prep's,10,10,10,10,10,2,0,10
Dextromethorphan Hydrobromide,41,41,41,41,40,27,0,41
Dextromoramide Tartrate,14,14,14,14,14,13,0,14
Dextropropoxyphene,3,3,3,3,3,3,0,3
Dextrothyroxine Sodium,2,2,2,2,2,2,0,2
Di-Iodohydroxyquinoline,2,2,2,2,2,2,0,2
Diabetic,20,20,20,20,20,0,0,20
Diacerein,2,2,2,2,2,2,0,2
Diagnostic Skin Tests,21,21,21,21,21,1,0,21
Diamorphine Hydrochloride,11,11,11,11,11,11,0,11
Diamorphine Hydrochloride (Systemic),160,160,160,160,160,153,0,160
Diamorphine Hydrochloride (Top),2,2,2,2,2,2,0,2
Diazepam,104,104,104,104,100,102,0,104
Diazoxide,41,41,41,41,41,40,0,41
Dibasic Potassium Phosphate,19,19,19,19,19,17,0,19
Dibenzepin Hydrochloride,2,2,2,2,2,2,0,2
Dibrompropamidine Isetionate,6,6,6,6,6,4,0,6
Dichlorobenzyl Alcohol,2,2,2,2,2,2,0,2
Dichlorobenzyl Alcohol/Amylmetacresol,1,1,1,1,1,1,0,1
Diclofenac Potassium,9,9,9,9,9,9,0,9
Diclofenac Sod,1,1,1,1,1,1,0,1
Diclofenac Sodium,182,182,182,182,182,178,0,182
Diclofenamide,4,4,4,4,4,4,0,4
Dicobalt Edetate,2,2,2,2,2,2,0,2
Dicophane,2,2,2,2,2,0,0,2
Dicycloverine HCl Compound Preparations,3,3,3,3,3,0,0,3
Dicycloverine Hydrochloride,8,8,8,8,8,7,0,8
Didanosine,18,18,18,18,18,18,0,18
Dienestrol,10,10,10,10,10,10,0,10
Dienogest,1,1,1,1,1,1,0,1
Diethylamine Salicylate,4,4,4,4,4,3,0,4
Diethylcarbamazine Citrate,4,4,4,4,4,4,0,4
Diethylpropion Hydrochloride,6,6,6,6,6,4,0,6
Diethylstilbestrol,23,23,23,23,23,22,0,23
Diethyltoluamide,1,1,1,1,1,1,0,1
Difenidol Hydrochloride,2,2,2,2,2,2,0,2
Diflucortolone Valerate,14,14,14,14,14,13,0,14
Diflunisal,7,7,7,7,7,7,0,7
Digitoxin,6,6,6,6,6,6,0,6
Digoxin,27,27,27,27,27,26,0,27
Digoxin Antibody,4,4,4,4,4,4,0,4
Dihydrocodeine Tartrate,25,25,25,25,25,23,0,25
Dihydroergotamine Mesilate,15,15,15,15,15,11,0,15
Dihydrotachysterol,7,7,7,7,7,7,0,7
Dihydroxyacetone,11,11,11,11,11,11,0,11
Diloxanide Furoate,12,12,12,12,12,10,0,12
Diltiazem Hydrochloride,140,140,140,140,140,134,0,140
Diltiazem Hydrochloride with Thiazides,2,2,2,2,2,1,0,2
Dimenhydrinate,7,7,7,7,7,7,0,7
Dimenhydrinate/Cinnarizine,2,2,2,2,2,1,0,2
Dimercaprol,2,2,2,2,2,2,0,2
Dimethyl Fumar,8,8,8,8,8,8,0,8
Dimethyl Sulfoxide,3,3,3,3,3,3,0,3
Dimeticone (Barrier),24,24,24,24,24,12,0,24
Dimeticone (Parasiticidal),10,10,10,10,10,10,0,10
Dimetindene Maleate,2,2,2,2,2,2,0,2
Dimetotiazine,2,2,2,2,2,2,0,2
Dinoprost Trometamol,2,2,2,2,2,2,0,2
Dinoprostone,16,16,16,16,16,16,0,16
Diosmin,2,2,2,2,2,2,0,2
Diosmin/Hesperidin,2,2,2,2,2,2,0,2
Diphenhydramine HCl/Pholcodine,4,4,4,4,4,1,0,4
Diphenhydramine Hydrochloride,77,77,77,77,77,50,0,77
Diphenylpyraline Hydrochloride,9,9,9,9,9,8,0,9
Diphtheria,54,54,54,54,53,51,0,54
Dipipanone Hydrochloride,7,7,7,7,7,4,0,7
Dipivefrine Hydrochloride,3,3,3,3,3,3,0,3
Diprophylline,7,7,7,7,6,6,0,7
Dipyridamole,43,43,43,43,43,42,0,43
Dipyridamole & Aspirin,4,4,4,4,4,3,0,4
Dipyrone Sodium,2,2,2,2,2,2,0,2
Disodium Edetate,6,6,6,6,6,6,0,6
Disodium Folinate,8,8,8,8,8,8,0,8
Disopyramide,26,26,26,26,26,26,0,26
Disopyramide Phosphate,16,16,16,16,16,16,0,16
Distigmine Bromide,5,5,5,5,5,5,0,5
Disulfiram,8,8,8,8,8,7,0,8
Dithranol,155,155,155,155,154,123,0,155
Dithranol Triacetate,5,5,5,5,5,2,0,5
Dobutamine Hydrochloride,9,9,9,9,9,9,0,9
Docetaxel,21,21,21,21,21,21,0,21
Docusate Sodium,42,42,42,42,42,39,0,42
Dolasetron Mesilate,8,8,8,8,8,8,0,8
Dolutegravir,6,6,6,6,6,6,0,6
Dolutegravir/Lamivudine,2,2,2,2,2,2,0,2
Dolutegravir/Rilpivirine,2,2,2,2,2,2,0,2
Domiphen Bromide,2,2,2,2,2,1,0,2
Domperidone,24,24,24,24,24,23,0,24
Donepezil Hydrochloride,14,14,14,14,14,14,0,14
Dopamine Hydrochloride,10,10,10,10,10,10,0,10
Dopexamine Hydrochloride,2,2,2,2,2,2,0,2
Doravirine,2,2,2,2,2,2,0,2
Doripenem,2,2,2,2,2,2,0,2
Dornase Alfa,2,2,2,2,2,2,0,2
Dorzolamide,7,7,7,7,7,7,0,7
Dorzolamide & Timolol,8,8,8,8,8,8,0,8
Dosulepin Hydrochloride,56,56,56,56,56,55,0,56
Doxapram Hydrochloride,2,2,2,2,2,2,0,2
Doxazosin Mesilate,47,47,47,47,47,46,0,47
Doxepin,12,12,12,12,12,12,0,12
Doxepin Hydrochloride,3,3,3,3,3,3,0,3
Doxorubicin Hydrochloride,23,23,23,23,23,23,0,23
Doxycycline Hyclate,28,28,28,28,28,28,0,28
Doxycycline Monohydrate,2,2,2,2,2,2,0,2
Doxylamine Succinate/Pyridoxine HCl,4,4,4,4,4,1,0,4
Dried Factor IX Fraction,26,26,26,26,26,26,0,26
Dried Factor VIII Fraction,87,87,87,87,87,83,0,87
Dried Factor XIII Fraction,4,4,4,4,4,2,0,4
Dried Plasma Protein Fraction,1,1,1,1,1,1,0,1
Dried Thrombin,6,6,6,6,4,2,0,6
Dronabinol/Cannabidiol,4,4,4,4,4,4,0,4
Dronedarone Hydrochloride,2,2,2,2,2,2,0,2
Droperidol,14,14,14,14,14,14,0,14
Drostanolone Propionate,2,2,2,2,2,2,0,2
Drotrecogin Alfa,4,4,4,4,4,4,0,4
Dulaglutide,4,4,4,4,4,4,0,4
Duloxetine Hydrochloride,22,22,22,22,22,22,0,22
Dutasteride,4,4,4,4,4,4,0,4
Dydrogesterone,4,4,4,4,4,4,0,4
Econazole Nitrate,30,30,30,30,28,26,0,30
Ecothiopate Iodide,12,12,12,12,12,12,0,12
Eculizumab,2,2,2,2,2,2,0,2
Edoxaban,6,6,6,6,6,6,0,6
Edrophonium Chloride,5,5,5,5,5,5,0,5
Efalizumab,2,2,2,2,2,2,0,2
Efavirenz,10,10,10,10,10,10,0,10
Efavirenz/Emtricitabine/Tenofovir Disop,2,2,2,2,2,1,0,2
Eflornithine Monohydrate Chloride,2,2,2,2,2,2,0,2
Elbasvir/Grazoprevir,2,2,2,2,2,2,0,2
Eletriptan,4,4,4,4,4,4,0,4
Eliglustat,2,2,2,2,2,2,0,2
Elosulfase Alfa,3,3,3,3,3,3,0,3
Eltrombopag,6,6,6,6,6,6,0,6
Eluxadoline,4,4,4,4,4,4,0,4
Elvitegravir,4,4,4,4,4,4,0,4
Emedastine,2,2,2,2,2,2,0,2
Emepronium Bromide,6,6,6,6,6,6,0,6
Emollient Bath & Shower Preparations,36,36,36,36,36,12,0,36
Empagliflozin,4,4,4,4,4,4,0,4
Empagliflozin/Linagliptin,4,4,4,4,4,4,0,4
Empagliflozin/Metformin,8,8,8,8,8,8,0,8
Empicol,8,8,8,8,8,1,0,8
Emtricitabine,4,4,4,4,4,4,0,4
Emtricitabine & Tenofovir Alafenamide,4,4,4,4,4,4,0,4
Emtricitabine & Tenofovir Disoproxil,3,3,3,3,3,3,0,3
Emulsifying Wax,23,23,23,23,23,1,0,23
Enalapril Maleate,72,72,72,72,72,70,0,72
Enalapril Maleate with Diuretic,2,2,2,2,2,1,0,2
Enbucrilate,5,5,5,5,5,5,0,5
Encephalitis Vaccine,1,1,1,1,1,0,0,1
Encorafenib,4,4,4,4,4,4,0,4
Enfuvirtide,2,2,2,2,2,2,0,2
Enoxacin,2,2,2,2,2,2,0,2
Enoxaparin,35,35,35,35,35,35,0,35
Enoximone,3,3,3,3,3,3,0,3
Entacapone,5,5,5,5,5,5,0,5
Entecavir,6,6,6,6,6,6,0,6
Enteral Nutrition,643,643,643,643,630,163,0,643
Enzalutamide,2,2,2,2,2,2,0,2
Ephedrine HCl/Dextrometh Hydrob,2,2,2,2,2,1,0,2
Ephedrine HCl/Ipecacuanha,2,2,2,2,2,2,0,2
Ephedrine Hydrochloride,71,71,71,71,71,48,0,71
Ephedrine Sulfate,6,6,6,6,6,1,0,6
Epinastine Hydrochloride,2,2,2,2,2,2,0,2
Epirubicin Hydrochloride,14,14,14,14,14,14,0,14
Eplerenone,4,4,4,4,4,4,0,4
Epoetin Alfa,54,54,54,54,54,54,0,54
Epoetin Beta,55,55,55,55,55,55,0,55
Epoetin Delta,16,16,16,16,16,16,0,16
Epoetin Theta,16,16,16,16,16,16,0,16
Epoetin Zeta,22,22,22,22,22,22,0,22
EpoprostenolSodium,12,12,12,12,12,12,0,12
Eprosartan,7,7,7,7,7,7,0,7
Eptifibatide,4,4,4,4,4,4,0,4
Erdosteine,2,2,2,2,2,2,0,2
Erenumab,4,4,4,4,4,4,0,4
Ergocalciferol,163,163,163,163,162,111,0,163
Ergometrine Maleate,11,11,11,11,11,11,0,11
Ergotamine Tartrate,21,21,21,21,21,17,0,21
Eribulin,4,4,4,4,4,4,0,4
Erlotinib,6,6,6,6,6,6,0,6
Ertapenem Sodium,2,2,2,2,2,2,0,2
Ertugliflozin,4,4,4,4,4,4,0,4
Erythromycin,42,42,42,42,42,39,0,42
Erythromycin Estolate,8,8,8,8,8,8,0,8
Erythromycin Ethylsuccinate,50,50,50,50,50,50,0,50
Erythromycin Lactobionate,6,6,6,6,6,6,0,6
Erythromycin Stearate,11,11,11,11,11,9,0,11
Erythropoietin,6,6,6,6,6,6,0,6
Escitalopram,11,11,11,11,11,11,0,11
Esketamine Hydrochloride,6,6,6,6,6,6,0,6
Eslicarbazepine Acetate,6,6,6,6,6,6,0,6
Esmolol Hydrochloride,3,3,3,3,3,3,0,3
Esomeprazole,20,20,20,20,20,20,0,20
Estradiol,105,105,105,105,105,83,0,105
Estradiol & Nomegestrol,2,2,2,2,2,2,0,2
Estradiol Benzoate,8,8,8,8,8,8,0,8
Estradiol Val&Estradiol Val + Dienogest,2,2,2,2,2,0,0,2
Estradiol Valerate,13,13,13,13,13,13,0,13
Estradiol and Estriol,4,4,4,4,4,3,0,4
Estradiol and Estriol with Progestogen,4,4,4,4,4,0,0,4
Estradiol with Cyproterone Acetate,2,2,2,2,2,0,0,2
Estradiol with Progestogen,73,73,73,73,73,37,0,73
"Estradiol, Estriol and Estrone",6,6,6,6,6,1,0,6
Estramustine Phosphate,2,2,2,2,2,2,0,2
Estriol,17,17,17,17,17,17,0,17
Estrone,1,1,1,1,1,1,0,1
Estropipate,2,2,2,2,2,2,0,2
Estropipate with Progestogen,2,2,2,2,2,0,0,2
Etacrynic Acid,6,6,6,6,6,6,0,6
Etafedrine Hydrochloride,1,1,1,1,1,0,0,1
Etamivan,4,4,4,4,4,4,0,4
Etamsylate,11,11,11,11,11,11,0,11
Etanercept,21,21,21,21,21,21,0,21
Ethambutol Hydrochloride,41,41,41,41,41,33,0,41
Ethanol,2,2,2,2,2,2,0,2
Ethanol (Top),2,2,2,2,2,1,0,2
Ethanolamine Oleate,3,3,3,3,3,3,0,3
"Ether,Anaesthetic",2,2,2,2,2,0,0,2
Ethinylestradiol,33,33,33,33,33,33,0,33
Ethinyloestradiol with Progestogen,2,2,2,2,2,0,0,2
Ethionamide,2,2,2,2,2,2,0,2
Ethosuximide,16,16,16,16,16,16,0,16
Ethyl Chloride,4,4,4,4,4,4,0,4
Ethyl Lactate,4,4,4,4,4,0,0,4
Ethyloestranol,2,2,2,2,2,2,0,2
Etidronate Disodium,8,8,8,8,8,7,0,8
Etilefrine Hydrochloride,6,6,6,6,6,6,0,6
Etodolac,15,15,15,15,15,15,0,15
Etoglucid,3,3,3,3,3,2,0,3
Etomidate,2,2,2,2,2,2,0,2
Etonogestrel,3,3,3,3,3,3,0,3
Etonogestrel/Ethinylestradiol,3,3,3,3,3,0,0,3
Etoposide,14,14,14,14,14,14,0,14
Etoricoxib,8,8,8,8,8,8,0,8
Etravirine,6,6,6,6,6,6,0,6
Etretinate,4,4,4,4,4,4,0,4
Etynodiol Diacetate,2,2,2,2,2,2,0,2
Euphorbia,1,1,1,1,1,0,0,1
European Viper Venom Antiserum,2,2,2,2,0,2,0,2
Everolimus,23,23,23,23,23,23,0,23
Evolocumab,4,4,4,4,4,4,0,4
Exemestane,2,2,2,2,2,2,0,2
Exenatide,8,8,8,8,8,8,0,8
Ezetimibe,2,2,2,2,2,2,0,2
Factor VIII Inhibitor Bypassing Fraction,2,2,2,2,2,2,0,2
Factor VIIa (Recombinant),22,22,22,22,22,22,0,22
Factor XI Concentrate,1,1,1,1,1,0,0,1
Famciclovir,9,9,9,9,9,9,0,9
Famotidine,10,10,10,10,10,10,0,10
Fampridine,3,3,3,3,3,3,0,3
Febuxostat,4,4,4,4,4,4,0,4
Felbamate,7,7,7,7,7,7,0,7
Felbinac,5,5,5,5,5,5,0,5
Felodipine,42,42,42,42,42,42,0,42
Fenbufen,14,14,14,14,14,14,0,14
Fenclofenac,2,2,2,2,2,2,0,2
Fenfluramine Hydrochloride,7,7,7,7,7,7,0,7
Fenofibrate,13,13,13,13,13,13,0,13
Fenofibrate/Simvastatin,4,4,4,4,4,4,0,4
Fenoprofen,8,8,8,8,8,8,0,8
Fenoterol Hydrobromide,20,20,20,20,20,16,0,20
Fentanyl,164,164,164,164,164,163,0,164
Fentanyl Citrate,6,6,6,6,6,6,0,6
Fenticonazole Nitrate,10,10,10,10,10,10,0,10
Feprazone,1,1,1,1,1,1,0,1
Ferric Ammonium Citrate,1,1,1,1,1,0,0,1
Ferric Chloride,3,3,3,3,3,0,0,3
Ferric Maltol,2,2,2,2,2,1,0,2
Ferrous Calcium Citrate,2,2,2,2,2,2,0,2
Ferrous Fumarate,24,24,24,24,24,22,0,24
Ferrous Gluconate,12,12,12,12,12,11,0,12
Ferrous Glycine Sulfate,8,8,8,8,8,5,0,8
Ferrous Succinate,4,4,4,4,4,2,0,4
Ferrous Sulfate,75,75,75,75,75,66,0,75
Ferumoxytol,2,2,2,2,2,2,0,2
Fesoterodine Fumarate,4,4,4,4,4,4,0,4
Fexofenadine Hydrochloride,9,9,9,9,9,9,0,9
Fidaxomicin,2,2,2,2,2,2,0,2
Fig,1,1,1,1,1,0,0,1
Filgrastim,32,32,32,32,32,32,0,32
Finasteride,9,9,9,9,9,9,0,9
Fingolimod,4,4,4,4,4,4,0,4
