ATC level name,rxcui,rxaui,sab,tty,ATC code,suppress,mapped_to_bnf,combination
Mineralocorticoids,1,1,1,1,1,1,1,0
"Mineralocorticoids for systemic use, plain",1,1,1,1,1,1,1,0
Monoamine oxidase A inhibitors,1,1,1,1,1,1,1,0
Monoamine oxidase B inhibitors,1,1,1,1,1,1,1,0
"Monoamine oxidase inhibitors, non-selective",1,1,1,1,1,1,1,0
Monobactams,1,1,1,1,1,1,1,0
Monoclonal antibodies,1,1,1,1,1,1,1,0
"Monoclonal antibodies, antineoplastic",1,1,1,1,1,1,1,0
Morphinan derivatives,1,1,1,1,1,1,1,0
"Morphinan derivatives, opiod analgesics",1,1,1,1,1,1,1,0
Mucolytics,1,1,1,1,1,1,1,0
Multivitamins with minerals,1,1,1,1,1,1,1,0
"Multivitamins, other combinations",1,1,1,1,1,1,1,0
"Multivitamins, plain",1,1,1,1,1,1,1,0
Mumps vaccines,1,1,1,1,1,1,1,0
Muscle relaxants,1,1,1,1,1,1,1,0
Muscle relaxants FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,1,1,1,1,1,1,1,0
NASAL DECONGESTANTS FOR SYSTEMIC USE,1,1,1,1,1,1,1,0
NASAL PREPARATIONS,1,1,1,1,1,1,1,0
NERVOUS SYSTEM,1,1,1,1,1,1,1,0
NERVOUS SYSTEM DRUGS,1,1,1,1,1,1,1,0
NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,1,1,1,1,1,1,1,0
"Natural and semisynthetic estrogens, plain",1,1,1,1,1,1,1,0
Natural opium alkaloid analgesics,1,1,1,1,1,1,1,0
Natural opium alkaloids,1,1,1,1,1,1,1,0
Nerve depressant drugs,1,1,1,1,1,1,1,0
Nerve depressants,1,1,1,1,1,1,1,0
Neuraminidase inhibitors,1,1,1,1,1,1,1,0
"Neuraminidase inhibitors, direct acting antivirals",1,1,1,1,1,1,1,0
Nicotinic acid and derivatives,2,2,2,2,2,2,2,0
"Nicotinic acid and derivatives, lipid modifying, plain",1,1,1,1,1,1,1,0
"Nicotinic acid and derivatives, peripheral vasodilators",1,1,1,1,1,1,1,0
Nitroferricyanide derivatives,1,1,1,1,1,1,1,0
Nitroferricyanide derivatives acting on arteriolar smooth muscle,1,1,1,1,1,1,1,0
Nitrofuran derivatives,3,3,3,3,3,3,3,0
"Nitrofuran derivatives, antibacterials for systemic use",1,1,1,1,1,1,1,0
"Nitrofuran derivatives, antiprotozoal drugs",1,1,1,1,1,1,1,0
"Nitrofuran derivatives, antiseptics and disinfectants",1,1,1,1,1,1,1,0
Nitrogen mustard analogues,1,1,1,1,1,1,1,0
Nitroimidazole derivatives,2,2,2,2,2,2,2,0
"Nitroimidazole derivatives, antiprotozoal agents against amoebiasis and other protozoal diseases",1,1,1,1,1,1,1,0
"Nitroimidazole derivatives, antiprotozoal agents against leishmaniasis and trypanosomiasis",1,1,1,1,1,1,1,0
Nitrosoureas,1,1,1,1,1,1,1,0
"Nitrosoureas, antineoplastic alkylating agents",1,1,1,1,1,1,1,0
Non-nucleoside reverse transcriptase inhibitors,1,1,1,1,1,1,1,0
Non-selective beta-adrenoreceptor agonist inhalants,1,1,1,1,1,1,1,0
Non-selective beta-adrenoreceptor agonists,2,2,2,2,2,2,2,0
Non-selective beta-adrenoreceptor agonists for systemic use,1,1,1,1,1,1,1,0
Non-selective monoamine reuptake inhibitors,1,1,1,1,1,1,1,0
Non-watersoluble X-ray contrast media,1,1,1,1,1,1,1,0
Nucleoside and nucleotide reverse transcriptase inhibitors,1,1,1,1,1,1,1,0
Nucleosides and nucleotides excl. reverse transcriptase inhibitors,1,1,1,1,1,1,1,0
Nutrients without phenylalanine,1,1,1,1,1,1,1,0
OCULAR VASCULAR DISORDER AGENTS,1,1,1,1,1,1,1,0
OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,1,1,1,1,1,1,1,0
OPHTHALMOLOGICALS,1,1,1,1,1,1,1,0
OPIOID ANALGESICS,1,1,1,1,1,1,1,0
OPIOIDS,1,1,1,1,1,1,1,0
OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,1,1,1,1,1,1,1,0
OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM in ATC,1,1,1,1,1,1,1,0
OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,2,2,2,2,2,2,2,0
OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC,2,2,2,2,2,2,2,0
OTHER ANABOLIC AGENTS,1,1,1,1,1,1,1,0
OTHER ANABOLIC AGENTS in ATC,1,1,1,1,1,1,1,0
OTHER ANALGESICS AND ANTIPYRETICS,1,1,1,1,1,1,1,0
OTHER ANALGESICS AND ANTIPYRETICS in ATC,1,1,1,1,1,1,1,0
OTHER ANTIANEMIC PREPARATIONS,1,1,1,1,1,1,1,0
OTHER ANTIANEMIC PREPARATIONS in ATC,1,1,1,1,1,1,1,0
OTHER ANTIBACTERIALS,1,1,1,1,1,1,1,0
OTHER ANTIBACTERIALS in ATC,1,1,1,1,1,1,1,0
OTHER ANTIDIARRHEALS,1,1,1,1,1,1,1,0
OTHER ANTIDIARRHEALS in ATC,1,1,1,1,1,1,1,0
OTHER ANTIHYPERTENSIVES,1,1,1,1,1,1,1,0
OTHER ANTIHYPERTENSIVES in ATC,1,1,1,1,1,1,1,0
OTHER ANTINEOPLASTIC AGENTS,1,1,1,1,1,1,1,0
OTHER ANTINEOPLASTIC AGENTS in ATC,1,1,1,1,1,1,1,0
OTHER BETA-LACTAM ANTIBACTERIALS,1,1,1,1,1,1,1,0
OTHER BETA-LACTAM ANTIBACTERIALS in ATC,1,1,1,1,1,1,1,0
OTHER CARDIAC PREPARATIONS,1,1,1,1,1,1,1,0
OTHER CARDIAC PREPARATIONS in ATC,1,1,1,1,1,1,1,0
OTHER COLD PREPARATIONS,1,1,1,1,1,1,1,0
OTHER COLD PREPARATIONS in ATC,1,1,1,1,1,1,1,0
OTHER DERMATOLOGICAL PREPARATIONS,2,2,2,2,2,2,2,0
OTHER DERMATOLOGICAL PREPARATIONS IN ATC,1,1,1,1,1,1,1,0
OTHER DERMATOLOGICAL PREPARATIONS in ATC,2,2,2,2,2,2,2,0
OTHER DIAGNOSTIC AGENTS,1,1,1,1,1,1,1,0
OTHER DIAGNOSTIC AGENTS in ATC,1,1,1,1,1,1,1,0
OTHER DIAGNOSTIC RADIOPHARMACEUTICALS,1,1,1,1,1,1,1,0
OTHER DIAGNOSTIC RADIOPHARMACEUTICALS in ATC,1,1,1,1,1,1,1,0
OTHER DIURETICS,1,1,1,1,1,1,1,0
OTHER DIURETICS in ATC,1,1,1,1,1,1,1,0
OTHER DRUGS FOR ACID RELATED DISORDERS,1,1,1,1,1,1,1,0
OTHER DRUGS FOR ACID RELATED DISORDERS in ATC,1,1,1,1,1,1,1,0
OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,2,2,2,2,2,2,2,0
OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM in ATC,2,2,2,2,2,2,2,0
"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",1,1,1,1,1,1,1,0
"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC",1,1,1,1,1,1,1,0
OTHER DRUGS USED IN DIABETES,1,1,1,1,1,1,1,0
OTHER DRUGS USED IN DIABETES in ATC,1,1,1,1,1,1,1,0
OTHER GYNECOLOGICALS,2,2,2,2,2,2,2,0
OTHER GYNECOLOGICALS in ATC,2,2,2,2,2,2,2,0
OTHER HEMATOLOGICAL AGENTS,2,2,2,2,2,2,2,0
OTHER HEMATOLOGICAL AGENTS in ATC,2,2,2,2,2,2,2,0
OTHER MINERAL SUPPLEMENTS,1,1,1,1,1,1,1,0
OTHER MINERAL SUPPLEMENTS in ATC,1,1,1,1,1,1,1,0
OTHER NERVOUS SYSTEM DRUGS,2,2,2,2,2,2,2,0
OTHER NERVOUS SYSTEM DRUGS in ATC,2,2,2,2,2,2,2,0
OTHER NUTRIENTS,1,1,1,1,1,1,1,0
OTHER NUTRIENTS in ATC,1,1,1,1,1,1,1,0
OTHER OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,1,1,1,1,1,1,1,0
OTHER OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS in ATC,1,1,1,1,1,1,1,0
OTHER OPHTHALMOLOGICALS,1,1,1,1,1,1,1,0
OTHER OPHTHALMOLOGICALS IN ATC,1,1,1,1,1,1,1,0
OTHER OTOLOGICALS,1,1,1,1,1,1,1,0
OTHER OTOLOGICALS in ATC,1,1,1,1,1,1,1,0
OTHER PLAIN VITAMIN PREPARATIONS,1,1,1,1,1,1,1,0
OTHER PLAIN VITAMIN PREPARATIONS in ATC,1,1,1,1,1,1,1,0
OTHER RESPIRATORY SYSTEM PRODUCTS,2,2,2,2,2,2,2,0
OTHER RESPIRATORY SYSTEM PRODUCTS in ATC,2,2,2,2,2,2,2,0
OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,1,1,1,1,1,1,1,0
OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM in ATC,1,1,1,1,1,1,1,0
OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,1,1,1,1,1,1,1,0
OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC,1,1,1,1,1,1,1,0
OTHER THERAPEUTIC RADIOPHARMACEUTICALS,1,1,1,1,1,1,1,0
OTHER THERAPEUTIC RADIOPHARMACEUTICALS in ATC,1,1,1,1,1,1,1,0
OTHER VACCINES,1,1,1,1,1,1,1,0
OTHER VACCINES in ATC,1,1,1,1,1,1,1,0
"OTHER VITAMIN PRODUCTS, COMBINATIONS",1,1,1,1,1,1,1,0
"OTHER VITAMIN PRODUCTS, COMBINATIONS in ATC",1,1,1,1,1,1,1,0
OTOLOGICALS,1,1,1,1,1,1,1,0
Opioid anesthetics,1,1,1,1,1,1,1,0
Opioids in combination with antispasmodics,1,1,1,1,1,1,1,0
Opioids in combination with non-opioid analgesics,1,1,1,1,1,1,1,0
Opium alkaloids and derivatives,1,1,1,1,1,1,1,0
"Opium alkaloids and derivatives, cough suppressants",1,1,1,1,1,1,1,0
Opium derivatives and expectorants,1,1,1,1,1,1,1,0
Oral rehydration salt formulations,1,1,1,1,1,1,1,0
Organic acids,1,1,1,1,1,1,1,0
"Organic acids, Gynecological",1,1,1,1,1,1,1,0
Organic nitrates,1,1,1,1,1,1,1,0
Organic nitrates used in cardiac disease,1,1,1,1,1,1,1,0
Organophosphorous compounds,1,1,1,1,1,1,1,0
"Organophosphorous compounds, antitrematodals",1,1,1,1,1,1,1,0
Oripavine derivatives,1,1,1,1,1,1,1,0
Oripavine derivatives analgesics,1,1,1,1,1,1,1,0
Osmotically acting laxatives,1,1,1,1,1,1,1,0
Other agents against amoebiasis and other protozoal diseases,1,1,1,1,1,1,1,0
Other agents against amoebiasis and other protozoal diseases in ATC,1,1,1,1,1,1,1,0
Other agents against leishmaniasis and trypanosomiasis,1,1,1,1,1,1,1,0
Other agents against leishmaniasis and trypanosomiasis in ATC,1,1,1,1,1,1,1,0
Other agents for local oral treatment,1,1,1,1,1,1,1,0
Other agents for local oral treatment in ATC,1,1,1,1,1,1,1,0
Other agents for treatment of hemorrhoids and anal fissures for topical use,1,1,1,1,1,1,1,0
Other agents for treatment of hemorrhoids and anal fissures for topical use in ATC,1,1,1,1,1,1,1,0
Other alkylating agents,1,1,1,1,1,1,1,0
Other alkylating agents in ATC,1,1,1,1,1,1,1,0
Other aminoglycosides,1,1,1,1,1,1,1,0
Other aminoglycosides in ATC,1,1,1,1,1,1,1,0
Other analgesics and antipyretics,1,1,1,1,1,1,1,0
Other analgesics and antipyretics in ATC,1,1,1,1,1,1,1,0
Other anterior pituitary lobe hormones and analogues,1,1,1,1,1,1,1,0
Other anterior pituitary lobe hormones and analogues in ATC,1,1,1,1,1,1,1,0
Other anti-acne preparations for systemic use,1,1,1,1,1,1,1,0
Other anti-acne preparations for systemic use in ATC,1,1,1,1,1,1,1,0
Other anti-acne preparations for topical use,1,1,1,1,1,1,1,0
Other anti-acne preparations for topical use in ATC,1,1,1,1,1,1,1,0
Other anti-dementia drug combinations in ATC,1,1,1,1,1,1,1,1
Other anti-dementia drugs,1,1,1,1,1,1,1,0
Other anti-dementia drugs in ATC,1,1,1,1,1,1,1,0
Other anti-parathyroid agents,1,1,1,1,1,1,1,0
Other anti-parathyroid agents in ATC,1,1,1,1,1,1,1,0
Other antiallergics,1,1,1,1,1,1,1,0
Other antiallergics in ATC,1,1,1,1,1,1,1,0
Other antianemic preparations,1,1,1,1,1,1,1,0
Other antianemic preparations in ATC,1,1,1,1,1,1,1,0
"Other antiarrhythmics, class I and III",1,1,1,1,1,1,1,0
"Other antiarrhythmics, class I and III in ATC",1,1,1,1,1,1,1,0
Other antibacterials,1,1,1,1,1,1,1,0
Other antibacterials in ATC,1,1,1,1,1,1,1,0
Other antibiotics for topical use,1,1,1,1,1,1,1,0
Other antibiotics for topical use in ATC,1,1,1,1,1,1,1,0
Other anticestodals,1,1,1,1,1,1,1,0
Other anticestodals in ATC,1,1,1,1,1,1,1,0
Other antidepressants,1,1,1,1,1,1,1,0
Other antidepressants in ATC,1,1,1,1,1,1,1,0
Other antidiarrheals,1,1,1,1,1,1,1,0
Other antidiarrheals in ATC,1,1,1,1,1,1,1,0
Other antiemetics,1,1,1,1,1,1,1,0
Other antiemetics in ATC,1,1,1,1,1,1,1,0
Other antiepileptics,1,1,1,1,1,1,1,0
Other antiepileptics in ATC,1,1,1,1,1,1,1,0
Other antifungal combinations for topical use in ATC,1,1,1,1,1,1,1,1
Other antifungals for topical use,1,1,1,1,1,1,1,0
Other antifungals for topical use in ATC,1,1,1,1,1,1,1,0
Other antiglaucoma preparations,1,1,1,1,1,1,1,0
Other antiglaucoma preparations in ATC,1,1,1,1,1,1,1,0
Other antigout preparations,1,1,1,1,1,1,1,0
Other antigout preparations in ATC,1,1,1,1,1,1,1,0
Other antihistamines for systemic use,1,1,1,1,1,1,1,0
Other antihistamines for systemic use in ATC,1,1,1,1,1,1,1,0
Other antihypertensives and diuretics,1,1,1,1,1,1,1,0
Other antihypertensives and diuretics in ATC,1,1,1,1,1,1,1,0
Other antiinfectives,1,1,1,1,1,1,1,0
Other antiinfectives and antiseptics,1,1,1,1,1,1,1,0
Other antiinfectives in ATC,1,1,1,1,1,1,1,0
"Other antiinflammatory and antirheumatic agents, non-steroids",1,1,1,1,1,1,1,0
"Other antiinflammatory and antirheumatic agents, non-steroids in ATC",1,1,1,1,1,1,1,0
Other antiinflammatory therapeutic radiopharmaceuticals,1,1,1,1,1,1,1,0
Other antiinflammatory therapeutic radiopharmaceuticals in ATC,1,1,1,1,1,1,1,0
Other antiinflammatory/antirheumatic agents in combination with other drugs,1,1,1,1,1,1,1,0
Other antiinflammatory/antirheumatic agents in combination with other drugs in ATC,1,1,1,1,1,1,1,0
Other antimalarials,1,1,1,1,1,1,1,0
Other antimalarials in ATC,1,1,1,1,1,1,1,0
Other antimigraine preparations,1,1,1,1,1,1,1,0
Other antimigraine preparations in ATC,1,1,1,1,1,1,1,0
Other antimycotics for systemic use,1,1,1,1,1,1,1,0
Other antimycotics for systemic use in ATC,1,1,1,1,1,1,1,0
Other antinematodals,1,1,1,1,1,1,1,0
Other antinematodals in ATC,1,1,1,1,1,1,1,0
Other antineoplastic agents,1,1,1,1,1,1,1,0
Other antineoplastic agents in ATC,1,1,1,1,1,1,1,0
Other antiobesity drugs,1,1,1,1,1,1,1,0
Other antiobesity drugs in ATC,1,1,1,1,1,1,1,0
Other antipruritics,1,1,1,1,1,1,1,0
Other antipruritics in ATC,1,1,1,1,1,1,1,0
Other antipsoriatics for systemic use,1,1,1,1,1,1,1,0
Other antipsoriatics for systemic use in ATC,1,1,1,1,1,1,1,0
Other antipsoriatics for topical use,1,1,1,1,1,1,1,0
Other antipsoriatics for topical use in ATC,1,1,1,1,1,1,1,0
Other antipsychotics,1,1,1,1,1,1,1,0
Other antipsychotics in ATC,1,1,1,1,1,1,1,0
Other antiseptics and disinfectants,1,1,1,1,1,1,1,0
Other antiseptics and disinfectants in ATC,1,1,1,1,1,1,1,0
Other antispasmodics in combination with analgesics,1,1,1,1,1,1,1,0
Other antispasmodics in combination with analgesics in ATC,1,1,1,1,1,1,1,0
Other antispasmodics in combination with psycholeptics,1,1,1,1,1,1,1,0
Other antispasmodics in combination with psycholeptics in ATC,1,1,1,1,1,1,1,0
Other antithrombotic agents,1,1,1,1,1,1,1,0
Other antithrombotic agents in ATC,1,1,1,1,1,1,1,0
Other antithyroid preparations,1,1,1,1,1,1,1,0
Other antithyroid preparations in ATC,1,1,1,1,1,1,1,0
Other antitrematodal agents,1,1,1,1,1,1,1,0
Other antitrematodal agents in ATC,1,1,1,1,1,1,1,0
Other antivirals,1,1,1,1,1,1,1,0
Other antivirals in ATC,1,1,1,1,1,1,1,0
Other anxiolytics,1,1,1,1,1,1,1,0
Other anxiolytics in ATC,1,1,1,1,1,1,1,0
Other bacterial vaccines,1,1,1,1,1,1,1,0
Other bacterial vaccines in ATC,1,1,1,1,1,1,1,0
"Other blood glucose lowering drugs, excl. insulins",1,1,1,1,1,1,1,0
"Other blood glucose lowering drugs, excl. insulins in ATC",1,1,1,1,1,1,1,0
Other blood products,1,1,1,1,1,1,1,0
Other blood products in ATC,1,1,1,1,1,1,1,0
Other capillary stabilizing agents,1,1,1,1,1,1,1,0
Other capillary stabilizing agents in ATC,1,1,1,1,1,1,1,0
Other cardiac combination products,1,1,1,1,1,1,1,0
Other cardiac glycosides,1,1,1,1,1,1,1,0
Other cardiac glycosides in ATC,1,1,1,1,1,1,1,0
Other cardiac preparations,1,1,1,1,1,1,1,0
Other cardiac stimulants,1,1,1,1,1,1,1,0
Other cardiac stimulants in ATC,1,1,1,1,1,1,1,0
Other cardiac therapy combination products in ATC,1,1,1,1,1,1,1,0
Other cardiovascular system diagnostic radiopharmaceuticals,1,1,1,1,1,1,1,0
Other cardiovascular system diagnostic radiopharmaceuticals in ATC,1,1,1,1,1,1,1,0
Other central nervous system diagnostic radiopharmaceuticals,1,1,1,1,1,1,1,0
Other central nervous system diagnostic radiopharmaceuticals in ATC,1,1,1,1,1,1,1,0
Other centrally acting agents,1,1,1,1,1,1,1,0
Other centrally acting agents in ATC,1,1,1,1,1,1,1,0
Other cephalosporins and penems,1,1,1,1,1,1,1,0
Other cephalosporins and penems in ATC,1,1,1,1,1,1,1,0
Other chemotherapeutics,1,1,1,1,1,1,1,0
Other chemotherapeutics in ATC,1,1,1,1,1,1,1,0
Other cicatrizants,1,1,1,1,1,1,1,0
Other cicatrizants in ATC,1,1,1,1,1,1,1,0
Other combinations of nutrients,1,1,1,1,1,1,1,0
Other combinations of nutrients in ATC,1,1,1,1,1,1,1,0
Other cough suppressants,1,1,1,1,1,1,1,0
Other cough suppressants and expectorants,1,1,1,1,1,1,1,0
Other cough suppressants and expectorants in ATC,1,1,1,1,1,1,1,0
Other cough suppressants in ATC,1,1,1,1,1,1,1,0
Other cytotoxic antibiotics,1,1,1,1,1,1,1,0
Other cytotoxic antibiotics in ATC,1,1,1,1,1,1,1,0
Other dermatologicals,1,1,1,1,1,1,1,0
Other diagnostic agents,1,1,1,1,1,1,1,0
Other diagnostic agents in ATC,1,1,1,1,1,1,1,0
Other diagnostic radiopharmaceuticals for inflammation and infection detection,1,1,1,1,1,1,1,0
Other diagnostic radiopharmaceuticals for inflammation and infection detection in ATC,1,1,1,1,1,1,1,0
Other diagnostic radiopharmaceuticals for tumour detection,1,1,1,1,1,1,1,0
Other diagnostic radiopharmaceuticals for tumour detection in ATC,1,1,1,1,1,1,1,0
Other dopaminergic agents,1,1,1,1,1,1,1,0
Other dopaminergic agents in ATC,1,1,1,1,1,1,1,0
Other drugs affecting bone structure and mineralization,1,1,1,1,1,1,1,0
Other drugs affecting bone structure and mineralization in ATC,1,1,1,1,1,1,1,0
Other drugs for bile therapy,1,1,1,1,1,1,1,0
Other drugs for bile therapy in ATC,1,1,1,1,1,1,1,0
Other drugs for constipation,1,1,1,1,1,1,1,0
Other drugs for constipation in ATC,1,1,1,1,1,1,1,0
Other drugs for disorders of the musculo-skeletal system,1,1,1,1,1,1,1,0
Other drugs for disorders of the musculo-skeletal system in ATC,1,1,1,1,1,1,1,0
Other drugs for functional gastrointestinal disorders,1,1,1,1,1,1,1,0
Other drugs for functional gastrointestinal disorders in ATC,1,1,1,1,1,1,1,0
"Other drugs for obstructive airway diseases, inhalants",1,1,1,1,1,1,1,0
"Other drugs for obstructive airway diseases, inhalants in ATC",1,1,1,1,1,1,1,0
Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),1,1,1,1,1,1,1,0
Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) in ATC,1,1,1,1,1,1,1,0
Other drugs for treatment of tuberculosis,1,1,1,1,1,1,1,0
Other drugs for treatment of tuberculosis in ATC,1,1,1,1,1,1,1,0
Other drugs used in benign prostatic hypertrophy,1,1,1,1,1,1,1,0
Other drugs used in benign prostatic hypertrophy in ATC,1,1,1,1,1,1,1,0
"Other ectoparasiticides, incl. scabicides",1,1,1,1,1,1,1,0
"Other ectoparasiticides, incl. scabicides in ATC",1,1,1,1,1,1,1,0
Other emollients and protectives,1,1,1,1,1,1,1,0
Other emollients and protectives in ATC,1,1,1,1,1,1,1,0
Other estrogens,1,1,1,1,1,1,1,0
Other estrogens in ATC,1,1,1,1,1,1,1,0
Other general anesthetics,1,1,1,1,1,1,1,0
Other general anesthetics in ATC,1,1,1,1,1,1,1,0
Other gynecological antiinfectives and antiseptics in ATC,1,1,1,1,1,1,1,0
Other gynecologicals,1,1,1,1,1,1,1,0
Other gynecologicals in ATC,1,1,1,1,1,1,1,0
Other hem products,1,1,1,1,1,1,1,0
Other hem products in ATC,1,1,1,1,1,1,1,0
Other hepatic and reticulo endothelial system diagnostic radiopharmaceuticals,1,1,1,1,1,1,1,0
Other hepatic and reticulo endothelial system diagnostic radiopharmaceuticals in ATC,1,1,1,1,1,1,1,0
Other high-ceiling diuretics,1,1,1,1,1,1,1,0
Other high-ceiling diuretics in ATC,1,1,1,1,1,1,1,0
Other hormone antagonists and related agents,1,1,1,1,1,1,1,0
Other hormone antagonists and related agents in ATC,1,1,1,1,1,1,1,0
Other hormones,1,1,1,1,1,1,1,0
Other hormones for endocrine therapy in ATC,1,1,1,1,1,1,1,0
Other hypnotics and sedatives,1,1,1,1,1,1,1,0
Other hypnotics and sedatives in ATC,1,1,1,1,1,1,1,0
Other i.v. solution additives,1,1,1,1,1,1,1,0
Other i.v. solution additives in ATC,1,1,1,1,1,1,1,0
Other immunoglobulins,1,1,1,1,1,1,1,0
Other immunoglobulins in ATC,1,1,1,1,1,1,1,0
Other immunostimulants,1,1,1,1,1,1,1,0
Other immunostimulants in ATC,1,1,1,1,1,1,1,0
Other immunosuppressants,1,1,1,1,1,1,1,0
Other immunosuppressants in ATC,1,1,1,1,1,1,1,0
Other insecticides and repellents,1,1,1,1,1,1,1,0
Other insecticides and repellents in ATC,1,1,1,1,1,1,1,0
Other intestinal adsorbent combinations in ATC,1,1,1,1,1,1,1,1
Other intestinal adsorbents,1,1,1,1,1,1,1,0
Other intestinal adsorbents in ATC,1,1,1,1,1,1,1,0
Other intestinal antiinfectives,1,1,1,1,1,1,1,0
Other intestinal antiinfectives in ATC,1,1,1,1,1,1,1,0
Other irrigating solution combinations in ATC,1,1,1,1,1,1,1,1
Other irrigating solutions,1,1,1,1,1,1,1,0
Other irrigating solutions in ATC,1,1,1,1,1,1,1,0
Other lipid modifying agents,1,1,1,1,1,1,1,0
Other lipid modifying agents in ATC,1,1,1,1,1,1,1,0
Other local anesthetics,1,1,1,1,1,1,1,0
Other local anesthetics in ATC,1,1,1,1,1,1,1,0
Other low-ceiling diuretics,1,1,1,1,1,1,1,0
Other low-ceiling diuretics in ATC,1,1,1,1,1,1,1,0
Other magnetic resonance imaging contrast media,1,1,1,1,1,1,1,0
Other magnetic resonance imaging contrast media in ATC,1,1,1,1,1,1,1,0
Other mineral products,1,1,1,1,1,1,1,0
Other mineral products in ATC,1,1,1,1,1,1,1,0
"Other muscle relaxants, peripherally acting agents",1,1,1,1,1,1,1,0
Other nasal preparations,1,1,1,1,1,1,1,0
Other nasal preparations in ATC,1,1,1,1,1,1,1,0
Other nervous system drugs,1,1,1,1,1,1,1,0
Other nervous system drugs in ATC,1,1,1,1,1,1,1,0
Other non-selective calcium channel blockers,1,1,1,1,1,1,1,0
Other non-selective calcium channel blockers in ATC,1,1,1,1,1,1,1,0
Other non-therapeutic auxiliary products,1,1,1,1,1,1,1,0
Other non-therapeutic auxiliary products in ATC,1,1,1,1,1,1,1,0
Other ophthalmologic surgical aids in ATC,1,1,1,1,1,1,1,0
Other ophthalmological diagnostic agents,1,1,1,1,1,1,1,0
Other ophthalmological diagnostic agents in ATC,1,1,1,1,1,1,1,0
Other ophthalmologicals,1,1,1,1,1,1,1,0
Other ophthalmologicals in ATC,1,1,1,1,1,1,1,0
Other opioids,1,1,1,1,1,1,1,0
Other opioids in ATC,1,1,1,1,1,1,1,0
Other parasympathomimetics,1,1,1,1,1,1,1,0
Other parasympathomimetics in ATC,1,1,1,1,1,1,1,0
Other peripheral vasodilators,1,1,1,1,1,1,1,0
Other peripheral vasodilators in ATC,1,1,1,1,1,1,1,0
Other peripherally acting muscle relaxants in ATC,1,1,1,1,1,1,1,0
Other plain cardiac preparations in ATC,1,1,1,1,1,1,1,0
Other plain vitamin preparations,1,1,1,1,1,1,1,0
Other plain vitamin preparations in ATC,1,1,1,1,1,1,1,0
Other plant alkaloids and natural products,1,1,1,1,1,1,1,0
Other plant alkaloids and natural products in ATC,1,1,1,1,1,1,1,0
Other potassium-sparing agents,1,1,1,1,1,1,1,0
Other potassium-sparing agents in ATC,1,1,1,1,1,1,1,0
Other psychostimulants and nootropics,1,1,1,1,1,1,1,0
Other psychostimulants and nootropics in ATC,1,1,1,1,1,1,1,0
Other quaternary ammonium compounds,1,1,1,1,1,1,1,0
"Other quaternary ammonium compounds in ATC, muscle relaxants, peripherally acting",1,1,1,1,1,1,1,0
Other quinolones,1,1,1,1,1,1,1,0
Other quinolones in ATC,1,1,1,1,1,1,1,0
Other renal system diagnostic radiopharmaceuticals,1,1,1,1,1,1,1,0
Other renal system diagnostic radiopharmaceuticals in ATC,1,1,1,1,1,1,1,0
Other respiratory system diagnostic radiopharmaceuticals,1,1,1,1,1,1,1,0
Other respiratory system diagnostic radiopharmaceuticals in ATC,1,1,1,1,1,1,1,0
Other respiratory system products,1,1,1,1,1,1,1,0
Other respiratory system products in ATC,1,1,1,1,1,1,1,0
Other sclerosing agents,1,1,1,1,1,1,1,0
Other sclerosing agents in ATC,1,1,1,1,1,1,1,0
Other selective calcium channel blockers with mainly vascular effects,1,1,1,1,1,1,1,0
Other selective calcium channel blockers with mainly vascular effects in ATC,1,1,1,1,1,1,1,0
Other sex hormones and modulators of the genital system,1,1,1,1,1,1,1,0
Other sex hormones and modulators of the genital system in ATC,1,1,1,1,1,1,1,0
Other specific antirheumatic agents,1,1,1,1,1,1,1,0
Other specific antirheumatic agents in ATC,1,1,1,1,1,1,1,0
Other surgical aids,1,1,1,1,1,1,1,0
Other systemic drugs for obstructive airway diseases,1,1,1,1,1,1,1,0
Other systemic drugs for obstructive airway diseases in ATC,1,1,1,1,1,1,1,0
Other systemic hemostatics,1,1,1,1,1,1,1,0
Other systemic hemostatics in ATC,1,1,1,1,1,1,1,0
